ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 10:13:44 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,4,500,1,1826,,,,,,,96,500,99,1827,,,,,,,50.0
2026-04-18 10:14:10 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,4,500,1,1826,,,,,,,94,350,96,500,99,1827,,,,,49.0
2026-04-18 10:14:16 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,4,500,1,1826,,,,,,,94,350,96,500,98,3,99,1827,,,49.0
2026-04-18 10:16:20 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,4,500,1,1826,,,,,,,94,350,95,10,96,500,98,3,99,1827,49.0
2026-04-18 10:19:22 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,4,500,1,1826,,,,,,,94,350,95,10,96,500,97,2,98,3,49.0
2026-04-18 10:23:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,15,800,4,500,1,1826,,,,,94,350,95,10,96,500,97,2,98,3,54.5
2026-04-18 10:23:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,16,800,15,800,4,500,1,1826,,,94,350,95,10,96,500,97,2,98,3,55.0
2026-04-18 10:23:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,18,800,16,800,15,800,4,500,1,1826,94,350,95,10,96,500,97,2,98,3,56.0
2026-04-18 10:23:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,18,800,16,800,15,800,4,500,1,1826,41,800,94,350,95,10,96,500,97,2,29.5
2026-04-18 10:23:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,18,800,16,800,15,800,4,500,1,1826,41,800,44,800,94,350,95,10,96,500,29.5
2026-04-18 10:23:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,18,800,16,800,15,800,4,500,1,1826,41,800,43,800,44,800,94,350,95,10,29.5
2026-04-18 10:24:12 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,18,800,16,800,15,800,4,500,1,1826,40,20,41,800,43,800,44,800,94,350,29.0
2026-04-18 10:24:12 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,25,376,18,800,16,800,15,800,4,500,40,20,41,800,43,800,44,800,94,350,32.5
2026-04-18 10:24:12 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,25,376,18,800,16,800,15,800,4,500,35,144,40,20,41,800,43,800,44,800,30.0
2026-04-18 10:24:12 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,25,376,18,800,16,800,15,800,4,500,35,144,41,800,43,800,44,800,94,350,30.0
2026-04-18 10:24:27 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,25,376,18,800,16,800,15,800,4,500,35,144,41,800,43,800,44,800,74,1,30.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,25,376,18,800,15,800,4,500,1,1826,35,144,41,800,43,800,44,800,74,1,30.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,25,376,18,800,4,500,1,1826,,,35,144,41,800,43,800,44,800,74,1,30.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,25,376,4,500,1,1826,,,,,35,144,41,800,43,800,44,800,74,1,30.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,25,376,4,500,1,1826,,,,,35,144,43,800,44,800,74,1,84,1,30.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,25,376,4,500,1,1826,,,,,35,144,44,800,74,1,84,1,89,1,30.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,25,376,4,500,1,1826,,,,,35,144,74,1,84,1,89,1,94,350,30.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,26,800,25,376,4,500,1,1826,,,35,144,74,1,84,1,89,1,94,350,30.5
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,26,800,25,376,24,800,4,500,1,1826,35,144,74,1,84,1,89,1,94,350,30.5
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,26,800,25,1176,24,800,4,500,1,1826,35,144,74,1,84,1,89,1,94,350,30.5
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,26,800,25,1176,24,800,4,500,1,1826,34,800,35,144,74,1,84,1,89,1,30.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,26,800,25,1176,24,800,4,500,1,1826,34,800,35,144,36,800,74,1,84,1,30.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,26,800,25,1176,24,800,4,500,1,1826,34,800,35,944,36,800,74,1,84,1,30.0
2026-04-18 10:28:23 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,26,800,25,1176,24,800,4,500,1,3326,34,800,35,944,36,800,74,1,84,1,30.0
2026-04-18 10:28:23 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-ZAH,26,800,25,1176,24,800,4,500,2,900,34,800,35,944,36,800,74,1,84,1,30.0
