ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 10:13:44 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,4,500,1,1826,,,,,,,96,500,99,1827,,,,,,,50.0
2026-04-18 10:14:10 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,4,500,1,1826,,,,,,,94,350,96,500,99,1827,,,,,49.0
2026-04-18 10:14:16 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,4,500,1,1826,,,,,,,94,350,96,500,98,3,99,1827,,,49.0
2026-04-18 10:16:20 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,4,500,1,1826,,,,,,,94,350,95,10,96,500,98,3,99,1827,49.0
2026-04-18 10:19:22 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,4,500,1,1826,,,,,,,94,350,95,10,96,500,97,2,98,3,49.0
2026-04-18 10:23:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,56,800,4,500,1,1826,,,,,94,350,95,10,96,500,97,2,98,3,75.0
2026-04-18 10:23:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,57,800,56,800,4,500,1,1826,,,94,350,95,10,96,500,97,2,98,3,75.5
2026-04-18 10:23:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,59,800,57,800,56,800,4,500,1,1826,94,350,95,10,96,500,97,2,98,3,76.5
2026-04-18 10:23:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,59,800,57,800,56,800,4,500,1,1826,82,800,94,350,95,10,96,500,97,2,70.5
2026-04-18 10:23:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,59,800,57,800,56,800,4,500,1,1826,82,800,85,800,94,350,95,10,96,500,70.5
2026-04-18 10:23:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,59,800,57,800,56,800,4,500,1,1826,82,800,84,800,85,800,94,350,95,10,70.5
2026-04-18 10:23:29 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,59,788,57,800,56,800,4,500,1,1826,82,800,84,800,85,800,94,350,95,10,70.5
2026-04-18 10:23:31 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,59,800,57,800,56,800,4,500,1,1826,82,800,84,800,85,800,94,350,95,10,70.5
2026-04-18 10:24:11 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,65,144,59,800,57,800,56,800,4,500,82,800,84,800,85,800,94,350,95,10,73.5
2026-04-18 10:24:11 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,65,144,59,800,57,800,56,800,4,500,75,376,82,800,84,800,85,800,94,350,70.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,65,144,59,12,57,800,56,800,4,500,75,376,82,800,84,800,85,800,94,350,70.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,65,144,59,12,56,800,4,500,1,1826,75,376,82,800,84,800,85,800,94,350,70.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,65,144,59,12,4,500,1,1826,,,75,376,82,800,84,800,85,800,94,350,70.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,65,144,4,500,1,1826,,,,,75,376,82,800,84,800,85,800,94,350,70.0
2026-04-18 10:28:05 AM,KXATPCHALLENGERMATCH-26APR18TROZAH-TRO,65,144,4,500,1,1826,,,,,75,376,84,800,85,800,94,350,95,11,70.0
