ts_offset_sec,bid,ask,mid
0,37,38,37.5
0,37,38,37.5
1,37,38,37.5
1,37,38,37.5
7,37,38,37.5
7,37,38,37.5
7,37,38,37.5
7,37,38,37.5
7,37,38,37.5
7,37,38,37.5
9,37,38,37.5
9,37,38,37.5
9,37,38,37.5
9,37,38,37.5
16,37,38,37.5
16,37,38,37.5
17,37,38,37.5
17,37,38,37.5
17,37,38,37.5
17,37,38,37.5
17,37,38,37.5
17,37,38,37.5
25,37,38,37.5
25,37,38,37.5
25,37,38,37.5
25,37,38,37.5
27,37,38,37.5
27,37,38,37.5
27,37,38,37.5
27,37,38,37.5
35,37,38,37.5
35,37,38,37.5
36,37,38,37.5
36,37,38,37.5
38,37,38,37.5
38,37,38,37.5
38,37,38,37.5
38,37,38,37.5
45,37,38,37.5
45,37,38,37.5
45,37,38,37.5
45,37,38,37.5
48,37,38,37.5
48,37,38,37.5
48,37,38,37.5
48,37,38,37.5
54,37,38,37.5
54,37,38,37.5
54,37,38,37.5
54,37,38,37.5
57,37,38,37.5
57,37,38,37.5
57,37,38,37.5
57,37,38,37.5
65,37,38,37.5
65,37,38,37.5
65,37,38,37.5
65,37,38,37.5
66,37,38,37.5
66,37,38,37.5
67,37,38,37.5
67,37,38,37.5
75,37,38,37.5
75,37,38,37.5
75,37,38,37.5
75,37,38,37.5
77,37,38,37.5
77,37,38,37.5
78,37,38,37.5
78,37,38,37.5
84,37,38,37.5
84,37,38,37.5
84,37,38,37.5
84,37,38,37.5
87,37,38,37.5
87,37,38,37.5
87,37,38,37.5
87,37,38,37.5
93,37,38,37.5
93,37,38,37.5
93,37,38,37.5
93,37,38,37.5
98,37,38,37.5
98,37,38,37.5
98,37,38,37.5
98,37,38,37.5
104,37,38,37.5
104,37,38,37.5
105,37,38,37.5
105,37,38,37.5
107,37,38,37.5
107,37,38,37.5
107,37,38,37.5
107,37,38,37.5
114,37,38,37.5
114,37,38,37.5
114,37,38,37.5
114,37,38,37.5
116,37,38,37.5
116,37,38,37.5
117,37,38,37.5
117,37,38,37.5
123,37,38,37.5
123,37,38,37.5
123,37,38,37.5
123,37,38,37.5
125,37,38,37.5
125,37,38,37.5
126,37,38,37.5
126,37,38,37.5
133,37,38,37.5
133,37,38,37.5
134,37,38,37.5
134,37,38,37.5
135,37,38,37.5
135,37,38,37.5
135,37,38,37.5
135,37,38,37.5
143,37,38,37.5
143,37,38,37.5
144,37,38,37.5
144,37,38,37.5
145,37,38,37.5
145,37,38,37.5
145,37,38,37.5
145,37,38,37.5
152,37,38,37.5
152,37,38,37.5
153,37,38,37.5
153,37,38,37.5
156,37,38,37.5
156,37,38,37.5
156,37,38,37.5
156,37,38,37.5
162,37,38,37.5
162,37,38,37.5
162,37,38,37.5
162,37,38,37.5
166,37,38,37.5
166,37,38,37.5
166,37,38,37.5
166,37,38,37.5
172,37,38,37.5
172,37,38,37.5
173,37,38,37.5
173,37,38,37.5
176,37,38,37.5
176,37,38,37.5
177,37,38,37.5
177,37,38,37.5
182,37,38,37.5
182,37,38,37.5
182,37,38,37.5
182,37,38,37.5
188,37,38,37.5
188,37,38,37.5
188,37,38,37.5
188,37,38,37.5
192,37,38,37.5
192,37,38,37.5
192,37,38,37.5
192,37,38,37.5
198,37,38,37.5
198,37,38,37.5
198,37,38,37.5
198,37,38,37.5
203,37,38,37.5
203,37,38,37.5
203,37,38,37.5
203,37,38,37.5
209,37,38,37.5
209,37,38,37.5
209,37,38,37.5
209,37,38,37.5
214,37,38,37.5
214,37,38,37.5
214,37,38,37.5
214,37,38,37.5
219,37,38,37.5
219,37,38,37.5
220,37,38,37.5
220,37,38,37.5
222,37,38,37.5
222,37,38,37.5
226,37,38,37.5
226,37,38,37.5
226,37,38,37.5
226,37,38,37.5
230,37,38,37.5
230,37,38,37.5
230,37,38,37.5
230,37,38,37.5
237,37,38,37.5
237,37,38,37.5
237,37,38,37.5
237,37,38,37.5
241,37,38,37.5
241,37,38,37.5
242,37,38,37.5
242,37,38,37.5
247,37,38,37.5
247,37,38,37.5
247,37,38,37.5
247,37,38,37.5
251,37,38,37.5
251,37,38,37.5
251,37,38,37.5
251,37,38,37.5
252,37,38,37.5
252,37,38,37.5
257,37,38,37.5
257,37,38,37.5
257,37,38,37.5
257,37,38,37.5
260,37,38,37.5
261,37,38,37.5
261,37,38,37.5
261,37,38,37.5
261,37,38,37.5
261,37,38,37.5
268,37,38,37.5
268,37,38,37.5
268,37,38,37.5
268,37,38,37.5
270,37,38,37.5
270,37,38,37.5
270,37,38,37.5
270,37,38,37.5
278,37,38,37.5
278,37,38,37.5
278,37,38,37.5
278,37,38,37.5
280,37,38,37.5
280,37,38,37.5
280,37,38,37.5
280,37,38,37.5
287,37,38,37.5
287,37,38,37.5
288,37,38,37.5
288,37,38,37.5
290,37,38,37.5
290,37,38,37.5
290,37,38,37.5
290,37,38,37.5
298,37,38,37.5
298,37,38,37.5
298,37,38,37.5
298,37,38,37.5
300,37,38,37.5
300,37,38,37.5
301,37,38,37.5
301,37,38,37.5
307,37,38,37.5
307,37,38,37.5
308,37,38,37.5
308,37,38,37.5
311,37,38,37.5
311,37,38,37.5
311,37,38,37.5
311,37,38,37.5
315,37,38,37.5
315,37,38,37.5
315,37,38,37.5
315,37,38,37.5
320,37,38,37.5
320,37,38,37.5
320,37,38,37.5
320,37,38,37.5
323,37,38,37.5
323,37,38,37.5
324,37,38,37.5
324,37,38,37.5
330,37,38,37.5
330,37,38,37.5
331,37,38,37.5
331,37,38,37.5
333,37,38,37.5
333,37,38,37.5
333,37,38,37.5
333,37,38,37.5
335,37,38,37.5
335,37,38,37.5
340,37,38,37.5
340,37,38,37.5
340,37,38,37.5
340,37,38,37.5
343,37,38,37.5
343,37,38,37.5
343,37,38,37.5
343,37,38,37.5
347,37,38,37.5
350,37,38,37.5
350,37,38,37.5
350,37,38,37.5
350,37,38,37.5
354,37,38,37.5
354,37,38,37.5
354,37,38,37.5
354,37,38,37.5
358,37,38,37.5
359,37,38,37.5
360,37,38,37.5
360,37,38,37.5
360,37,38,37.5
360,37,38,37.5
363,37,38,37.5
363,37,38,37.5
364,37,38,37.5
364,37,38,37.5
364,37,38,37.5
364,37,38,37.5
371,37,38,37.5
371,37,38,37.5
371,37,38,37.5
371,37,38,37.5
374,37,38,37.5
374,37,38,37.5
374,37,38,37.5
374,37,38,37.5
377,37,38,37.5
377,37,38,37.5
377,37,38,37.5
377,37,38,37.5
377,37,38,37.5
381,37,38,37.5
381,37,38,37.5
381,37,38,37.5
381,37,38,37.5
382,37,38,37.5
382,37,38,37.5
382,37,38,37.5
382,37,38,37.5
383,37,38,37.5
383,37,38,37.5
383,37,38,37.5
383,37,38,37.5
390,37,38,37.5
390,37,38,37.5
390,37,38,37.5
390,37,38,37.5
391,37,38,37.5
392,37,38,37.5
392,37,38,37.5
392,37,38,37.5
392,37,38,37.5
394,37,38,37.5
400,37,38,37.5
400,37,38,37.5
400,37,38,37.5
400,37,38,37.5
401,37,38,37.5
401,37,38,37.5
401,37,38,37.5
401,37,38,37.5
403,37,38,37.5
406,37,38,37.5
409,37,38,37.5
409,37,38,37.5
409,37,38,37.5
409,37,38,37.5
410,37,38,37.5
410,37,38,37.5
410,37,38,37.5
410,37,38,37.5
419,37,38,37.5
419,37,38,37.5
419,37,38,37.5
419,37,38,37.5
420,37,38,37.5
420,37,38,37.5
420,37,38,37.5
420,37,38,37.5
428,37,38,37.5
428,37,38,37.5
428,37,38,37.5
428,37,38,37.5
429,37,38,37.5
429,37,38,37.5
429,37,38,37.5
429,37,38,37.5
438,37,38,37.5
438,37,38,37.5
438,37,38,37.5
438,37,38,37.5
438,37,38,37.5
438,37,38,37.5
438,37,38,37.5
438,37,38,37.5
447,37,38,37.5
447,37,38,37.5
447,37,38,37.5
447,37,38,37.5
449,37,38,37.5
449,37,38,37.5
449,37,38,37.5
449,37,38,37.5
451,37,38,37.5
451,37,38,37.5
458,37,38,37.5
458,37,38,37.5
458,37,38,37.5
458,37,38,37.5
458,37,38,37.5
458,37,38,37.5
458,37,38,37.5
458,37,38,37.5
466,37,38,37.5
466,37,38,37.5
466,37,38,37.5
466,37,38,37.5
466,37,38,37.5
466,37,38,37.5
466,37,38,37.5
466,37,38,37.5
466,37,38,37.5
466,37,38,37.5
467,37,38,37.5
467,37,38,37.5
468,37,38,37.5
468,37,38,37.5
476,37,38,37.5
476,37,38,37.5
476,37,38,37.5
476,37,38,37.5
477,37,38,37.5
477,37,38,37.5
477,37,38,37.5
477,37,38,37.5
485,37,38,37.5
485,37,38,37.5
486,37,38,37.5
486,37,38,37.5
488,37,38,37.5
488,37,38,37.5
488,37,38,37.5
488,37,38,37.5
488,37,38,37.5
488,37,38,37.5
495,37,38,37.5
495,37,38,37.5
495,37,38,37.5
495,37,38,37.5
498,37,38,37.5
498,37,38,37.5
499,37,38,37.5
499,37,38,37.5
505,37,38,37.5
505,37,38,37.5
505,37,38,37.5
505,37,38,37.5
509,37,38,37.5
509,37,38,37.5
509,37,38,37.5
509,37,38,37.5
515,37,38,37.5
515,37,38,37.5
515,37,38,37.5
515,37,38,37.5
518,37,38,37.5
518,37,38,37.5
519,37,38,37.5
519,37,38,37.5
524,37,38,37.5
524,37,38,37.5
524,37,38,37.5
524,37,38,37.5
527,37,38,37.5
527,37,38,37.5
527,37,38,37.5
527,37,38,37.5
533,37,38,37.5
533,37,38,37.5
533,37,38,37.5
533,37,38,37.5
535,37,38,37.5
535,37,38,37.5
535,37,38,37.5
535,37,38,37.5
541,37,38,37.5
541,37,38,37.5
541,37,38,37.5
541,37,38,37.5
544,37,38,37.5
544,37,38,37.5
544,37,38,37.5
544,37,38,37.5
549,37,38,37.5
549,37,38,37.5
549,37,38,37.5
549,37,38,37.5
551,37,38,37.5
551,37,38,37.5
552,37,38,37.5
552,37,38,37.5
557,37,38,37.5
557,37,38,37.5
558,37,38,37.5
558,37,38,37.5
559,37,38,37.5
559,37,38,37.5
559,37,38,37.5
559,37,38,37.5
567,37,38,37.5
567,37,38,37.5
567,37,38,37.5
567,37,38,37.5
569,37,38,37.5
569,37,38,37.5
569,37,38,37.5
569,37,38,37.5
575,37,38,37.5
575,37,38,37.5
575,37,38,37.5
575,37,38,37.5
576,37,38,37.5
576,37,38,37.5
576,37,38,37.5
576,37,38,37.5
582,37,38,37.5
582,37,38,37.5
582,37,38,37.5
582,37,38,37.5
583,37,38,37.5
583,37,38,37.5
584,37,38,37.5
584,37,38,37.5
590,37,38,37.5
590,37,38,37.5
590,37,38,37.5
590,37,38,37.5
593,37,38,37.5
593,37,38,37.5
593,37,38,37.5
593,37,38,37.5
598,37,38,37.5
598,37,38,37.5
598,37,38,37.5
598,37,38,37.5
602,37,38,37.5
602,37,38,37.5
602,37,38,37.5
